Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Pasco County, FL",12101,"Intentional self-harm by hanging, strangulation and suffocation",X70,32,539630,5.9
,"Pasco County, FL",12101,Intentional self-harm by other and unspecified firearm discharge,X74,58,539630,10.7
,"Pinellas County, FL",12103,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,21,975280,2.2
,"Pinellas County, FL",12103,"Intentional self-harm by hanging, strangulation and suffocation",X70,52,975280,5.3
,"Pinellas County, FL",12103,Intentional self-harm by other and unspecified firearm discharge,X74,91,975280,9.3
,"Pinellas County, FL",12103,Intentional self-harm by jumping from a high place,X80,18,975280,Unreliable
,"Polk County, FL",12105,"Intentional self-harm by hanging, strangulation and suffocation",X70,26,708009,3.7
,"Polk County, FL",12105,Intentional self-harm by other and unspecified firearm discharge,X74,49,708009,6.9
,"Putnam County, FL",12107,Intentional self-harm by handgun discharge,X72,12,74163,Unreliable
,"St. Johns County, FL",12109,Intentional self-harm by handgun discharge,X72,22,254261,8.7
,"St. Johns County, FL",12109,Intentional self-harm by other and unspecified firearm discharge,X74,12,254261,Unreliable
,"St. Lucie County, FL",12111,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,321128,Unreliable
,"St. Lucie County, FL",12111,Intentional self-harm by other and unspecified firearm discharge,X74,26,321128,8.1
,"Santa Rosa County, FL",12113,Intentional self-harm by handgun discharge,X72,18,179349,Unreliable
,"Sarasota County, FL",12115,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,426718,5.2
,"Sarasota County, FL",12115,Intentional self-harm by handgun discharge,X72,39,426718,9.1
,"Seminole County, FL",12117,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,467832,Unreliable
,"Seminole County, FL",12117,Intentional self-harm by other and unspecified firearm discharge,X74,22,467832,4.7
,"Sumter County, FL",12119,Intentional self-harm by other and unspecified firearm discharge,X74,12,128754,Unreliable
,"Volusia County, FL",12127,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,547538,Unreliable
,"Volusia County, FL",12127,"Intentional self-harm by hanging, strangulation and suffocation",X70,28,547538,5.1
,"Volusia County, FL",12127,Intentional self-harm by handgun discharge,X72,12,547538,Unreliable
,"Volusia County, FL",12127,Intentional self-harm by other and unspecified firearm discharge,X74,55,547538,10.0
,"Bartow County, GA",13015,Intentional self-harm by other and unspecified firearm discharge,X74,13,106408,Unreliable
,"Chatham County, GA",13051,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,289195,Unreliable
,"Chatham County, GA",13051,Intentional self-harm by other and unspecified firearm discharge,X74,24,289195,8.3
,"Cherokee County, GA",13057,Intentional self-harm by other and unspecified firearm discharge,X74,27,254149,10.6
,"Clayton County, GA",13063,Intentional self-harm by other and unspecified firearm discharge,X74,12,289615,Unreliable
,"Cobb County, GA",13067,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,756865,Unreliable
,"Cobb County, GA",13067,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,756865,3.0
,"Cobb County, GA",13067,Intentional self-harm by other and unspecified firearm discharge,X74,42,756865,5.5
,"Columbia County, GA",13073,Intentional self-harm by other and unspecified firearm discharge,X74,13,154291,Unreliable
,"Coweta County, GA",13077,Intentional self-harm by other and unspecified firearm discharge,X74,15,145864,Unreliable
,"DeKalb County, GA",13089,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,756558,Unreliable
,"DeKalb County, GA",13089,Intentional self-harm by handgun discharge,X72,22,756558,2.9
,"DeKalb County, GA",13089,Intentional self-harm by other and unspecified firearm discharge,X74,19,756558,Unreliable
,"Douglas County, GA",13097,Intentional self-harm by other and unspecified firearm discharge,X74,10,145331,Unreliable
,"Fulton County, GA",13121,"Intentional self-harm by hanging, strangulation and suffocation",X70,35,1050114,3.3
,"Fulton County, GA",13121,Intentional self-harm by handgun discharge,X72,23,1050114,2.2
,"Fulton County, GA",13121,Intentional self-harm by other and unspecified firearm discharge,X74,28,1050114,2.7
,"Gwinnett County, GA",13135,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,927781,Unreliable
,"Gwinnett County, GA",13135,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,927781,2.5
,"Gwinnett County, GA",13135,Intentional self-harm by handgun discharge,X72,54,927781,5.8
,"Hall County, GA",13139,Intentional self-harm by other and unspecified firearm discharge,X74,17,202148,Unreliable
,"Henry County, GA",13151,Intentional self-harm by other and unspecified firearm discharge,X74,22,230220,9.6
,"Houston County, GA",13153,Intentional self-harm by other and unspecified firearm discharge,X74,18,155469,Unreliable
,"Jackson County, GA",13157,Intentional self-harm by other and unspecified firearm discharge,X74,13,70422,Unreliable
,"Lowndes County, GA",13185,Intentional self-harm by other and unspecified firearm discharge,X74,11,116321,Unreliable
,"Muscogee County, GA",13215,Intentional self-harm by other and unspecified firearm discharge,X74,20,194160,10.3
,"Richmond County, GA",13245,Intentional self-harm by other and unspecified firearm discharge,X74,12,201554,Unreliable
,"Spalding County, GA",13255,Intentional self-harm by other and unspecified firearm discharge,X74,10,66100,Unreliable
,"Walton County, GA",13297,Intentional self-harm by other and unspecified firearm discharge,X74,11,93503,Unreliable
,"Hawaii County, HI",15001,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,200983,11.4
,"Hawaii County, HI",15001,Intentional self-harm by other and unspecified firearm discharge,X74,11,200983,Unreliable
,"Honolulu County, HI",15003,"Intentional self-harm by hanging, strangulation and suffocation",X70,50,980080,5.1
,"Honolulu County, HI",15003,Intentional self-harm by other and unspecified firearm discharge,X74,11,980080,Unreliable
,"Honolulu County, HI",15003,Intentional self-harm by jumping from a high place,X80,15,980080,Unreliable
,"Kauai County, HI",15007,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,72133,Unreliable
,"Maui County, HI",15009,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,167207,Unreliable
,"Ada County, ID",16001,"Intentional self-harm by hanging, strangulation and suffocation",X70,21,469966,4.5
,"Ada County, ID",16001,Intentional self-harm by handgun discharge,X72,54,469966,11.5
,"Ada County, ID",16001,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,469966,Unreliable
,"Bannock County, ID",16005,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,87138,Unreliable
,"Bannock County, ID",16005,Intentional self-harm by handgun discharge,X72,19,87138,Unreliable
,"Bonneville County, ID",16019,Intentional self-harm by handgun discharge,X72,11,116854,Unreliable
,"Canyon County, ID",16027,Intentional self-harm by handgun discharge,X72,19,223499,Unreliable
,"Kootenai County, ID",16055,Intentional self-harm by handgun discharge,X72,25,161505,15.5
,"Twin Falls County, ID",16083,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,86081,Unreliable
,"Champaign County, IL",17019,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,209983,Unreliable
,"Cook County, IL",17031,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,10,5180493,Unreliable
,"Cook County, IL",17031,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,29,5180493,0.6
,"Cook County, IL",17031,Intentional self-poisoning by and exposure to other gases and vapours,X67,11,5180493,Unreliable
,"Cook County, IL",17031,"Intentional self-harm by hanging, strangulation and suffocation",X70,161,5180493,3.1
,"Cook County, IL",17031,Intentional self-harm by handgun discharge,X72,16,5180493,Unreliable
,"Cook County, IL",17031,Intentional self-harm by other and unspecified firearm discharge,X74,144,5180493,2.8
,"Cook County, IL",17031,Intentional self-harm by jumping from a high place,X80,21,5180493,0.4
,"Cook County, IL",17031,Intentional self-harm by jumping or lying before moving object,X81,23,5180493,0.4
,"DuPage County, IL",17043,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,13,928589,Unreliable
,"DuPage County, IL",17043,"Intentional self-harm by hanging, strangulation and suffocation",X70,41,928589,4.4
,"DuPage County, IL",17043,Intentional self-harm by other and unspecified firearm discharge,X74,26,928589,2.8
,"Kane County, IL",17089,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,534216,Unreliable
,"Kane County, IL",17089,Intentional self-harm by other and unspecified firearm discharge,X74,18,534216,Unreliable
,"Lake County, IL",17097,"Intentional self-harm by hanging, strangulation and suffocation",X70,27,700832,3.9
,"Lake County, IL",17097,Intentional self-harm by other and unspecified firearm discharge,X74,15,700832,Unreliable
,"McHenry County, IL",17111,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,308570,Unreliable
,"Madison County, IL",17119,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,264461,8.3
,"Madison County, IL",17119,Intentional self-harm by handgun discharge,X72,12,264461,Unreliable
,"Peoria County, IL",17143,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,180621,Unreliable
,"Rock Island County, IL",17161,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,143477,Unreliable
,"St. Clair County, IL",17163,Intentional self-harm by other and unspecified firearm discharge,X74,21,261059,8.0
,"Tazewell County, IL",17179,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,132328,Unreliable
,"Will County, IL",17197,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,692310,4.2
,"Will County, IL",17197,Intentional self-harm by other and unspecified firearm discharge,X74,22,692310,3.2
,"Williamson County, IL",17199,Intentional self-harm by other and unspecified firearm discharge,X74,12,67056,Unreliable
,"Winnebago County, IL",17201,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,284081,Unreliable
,"Winnebago County, IL",17201,Intentional self-harm by other and unspecified firearm discharge,X74,22,284081,7.7
,"Allen County, IN",18003,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,375351,Unreliable
,"Allen County, IN",18003,Intentional self-harm by other and unspecified firearm discharge,X74,22,375351,5.9
,"Clark County, IN",18019,Intentional self-harm by other and unspecified firearm discharge,X74,14,117360,Unreliable
,"Delaware County, IN",18035,Intentional self-harm by other and unspecified firearm discharge,X74,11,114772,Unreliable
,"Elkhart County, IN",18039,Intentional self-harm by other and unspecified firearm discharge,X74,12,205560,Unreliable
,"Hamilton County, IN",18057,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,330086,Unreliable
,"Hamilton County, IN",18057,Intentional self-harm by other and unspecified firearm discharge,X74,15,330086,Unreliable
,"Hendricks County, IN",18063,Intentional self-harm by other and unspecified firearm discharge,X74,18,167009,Unreliable
,"Johnson County, IN",18081,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,156225,Unreliable
,"Lake County, IN",18089,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,484411,Unreliable
,"Lake County, IN",18089,Intentional self-harm by other and unspecified firearm discharge,X74,36,484411,7.4
,"La Porte County, IN",18091,Intentional self-harm by other and unspecified firearm discharge,X74,11,110007,Unreliable
,"Madison County, IN",18095,Intentional self-harm by other and unspecified firearm discharge,X74,14,129641,Unreliable
,"Marion County, IN",18097,"Intentional self-harm by hanging, strangulation and suffocation",X70,41,954670,4.3
,"Marion County, IN",18097,Intentional self-harm by handgun discharge,X72,73,954670,7.6
,"Monroe County, IN",18105,Intentional self-harm by other and unspecified firearm discharge,X74,12,146917,Unreliable
,"St. Joseph County, IN",18141,Intentional self-harm by other and unspecified firearm discharge,X74,15,270771,Unreliable
,"Tippecanoe County, IN",18157,Intentional self-harm by other and unspecified firearm discharge,X74,11,193048,Unreliable
,"Vanderburgh County, IN",18163,Intentional self-harm by other and unspecified firearm discharge,X74,23,180974,12.7
,"Vigo County, IN",18167,Intentional self-harm by other and unspecified firearm discharge,X74,10,107386,Unreliable
,"Wayne County, IN",18177,Intentional self-harm by other and unspecified firearm discharge,X74,10,65936,Unreliable
,"Linn County, IA",19113,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,225909,Unreliable
,"Linn County, IA",19113,Intentional self-harm by other and unspecified firearm discharge,X74,15,225909,Unreliable
,"Polk County, IA",19153,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,487204,Unreliable
,"Polk County, IA",19153,Intentional self-harm by handgun discharge,X72,13,487204,Unreliable
,"Butler County, KS",20015,Intentional self-harm by other and unspecified firearm discharge,X74,10,66765,Unreliable
,"Johnson County, KS",20091,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12,597555,Unreliable
,"Johnson County, KS",20091,"Intentional self-harm by hanging, strangulation and suffocation",X70,30,597555,5.0
,"Johnson County, KS",20091,Intentional self-harm by other and unspecified firearm discharge,X74,39,597555,6.5
,"Sedgwick County, KS",20173,"Intentional self-harm by hanging, strangulation and suffocation",X70,24,513607,4.7
,"Sedgwick County, KS",20173,Intentional self-harm by handgun discharge,X72,20,513607,3.9
,"Sedgwick County, KS",20173,Intentional self-harm by other and unspecified firearm discharge,X74,35,513607,6.8
,"Shawnee County, KS",20177,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,177499,Unreliable
,"Shawnee County, KS",20177,Intentional self-harm by other and unspecified firearm discharge,X74,17,177499,Unreliable
,"Wyandotte County, KS",20209,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,165324,Unreliable
,"Wyandotte County, KS",20209,Intentional self-harm by other and unspecified firearm discharge,X74,14,165324,Unreliable
,"Boone County, KY",21015,Intentional self-harm by other and unspecified firearm discharge,X74,13,131533,Unreliable
,"Campbell County, KY",21037,Intentional self-harm by other and unspecified firearm discharge,X74,10,93152,Unreliable
,"Christian County, KY",21047,Intentional self-harm by other and unspecified firearm discharge,X74,14,71671,Unreliable
,"Jefferson County, KY",21111,"Intentional self-harm by hanging, strangulation and suffocation",X70,31,770517,4.0
,"Jefferson County, KY",21111,Intentional self-harm by other and unspecified firearm discharge,X74,73,770517,9.5
,"Kenton County, KY",21117,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,166051,Unreliable
,"Kenton County, KY",21117,Intentional self-harm by other and unspecified firearm discharge,X74,12,166051,Unreliable
,"Madison County, KY",21151,Intentional self-harm by other and unspecified firearm discharge,X74,12,92368,Unreliable
,"Pike County, KY",21195,Intentional self-harm by other and unspecified firearm discharge,X74,11,58402,Unreliable
,"Warren County, KY",21227,Intentional self-harm by other and unspecified firearm discharge,X74,14,131264,Unreliable
,"Ascension Parish, LA",22005,Intentional self-harm by handgun discharge,X72,10,124672,Unreliable
,"Caddo Parish, LA",22017,Intentional self-harm by other and unspecified firearm discharge,X74,27,242922,11.1
,"Calcasieu Parish, LA",22019,Intentional self-harm by other and unspecified firearm discharge,X74,19,203112,Unreliable
,"East Baton Rouge Parish, LA",22033,Intentional self-harm by other and unspecified firearm discharge,X74,38,440956,8.6
,"Jefferson Parish, LA",22051,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,434051,Unreliable
,"Jefferson Parish, LA",22051,Intentional self-harm by other and unspecified firearm discharge,X74,39,434051,9.0
,"Lafayette Parish, LA",22055,Intentional self-harm by other and unspecified firearm discharge,X74,26,242782,10.7
,"Livingston Parish, LA",22063,Intentional self-harm by other and unspecified firearm discharge,X74,16,139567,Unreliable
,"Orleans Parish, LA",22071,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,391006,Unreliable
,"Orleans Parish, LA",22071,Intentional self-harm by other and unspecified firearm discharge,X74,24,391006,6.1
,"Ouachita Parish, LA",22073,Intentional self-harm by other and unspecified firearm discharge,X74,21,154475,13.6
,"Rapides Parish, LA",22079,Intentional self-harm by other and unspecified firearm discharge,X74,17,130562,Unreliable
,"St. Landry Parish, LA",22097,Intentional self-harm by other and unspecified firearm discharge,X74,13,82764,Unreliable
,"St. Tammany Parish, LA",22103,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,258111,Unreliable
,"St. Tammany Parish, LA",22103,Intentional self-harm by other and unspecified firearm discharge,X74,26,258111,10.1
,"Tangipahoa Parish, LA",22105,Intentional self-harm by other and unspecified firearm discharge,X74,10,133777,Unreliable
,"Terrebonne Parish, LA",22109,Intentional self-harm by other and unspecified firearm discharge,X74,10,111021,Unreliable
,"Cumberland County, ME",23005,Intentional self-harm by handgun discharge,X72,17,293557,Unreliable
,"Kennebec County, ME",23011,Intentional self-harm by handgun discharge,X72,10,122083,Unreliable
,"Penobscot County, ME",23019,Intentional self-harm by handgun discharge,X72,15,151096,Unreliable
,"York County, ME",23031,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,206229,Unreliable
,"Anne Arundel County, MD",24003,"Intentional self-harm by hanging, strangulation and suffocation",X70,31,576031,5.4
,"Anne Arundel County, MD",24003,Intentional self-harm by other and unspecified firearm discharge,X74,18,576031,Unreliable
,"Baltimore County, MD",24005,"Intentional self-harm by hanging, strangulation and suffocation",X70,26,828431,3.1
,"Baltimore County, MD",24005,Intentional self-harm by other and unspecified firearm discharge,X74,33,828431,4.0
,"Carroll County, MD",24013,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,168429,Unreliable
,"Frederick County, MD",24021,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,255648,Unreliable
,"Harford County, MD",24025,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,253956,Unreliable
,"Harford County, MD",24025,Intentional self-harm by other and unspecified firearm discharge,X74,18,253956,Unreliable
,"Montgomery County, MD",24031,"Intentional self-harm by hanging, strangulation and suffocation",X70,39,1052567,3.7
,"Montgomery County, MD",24031,Intentional self-harm by other and unspecified firearm discharge,X74,25,1052567,2.4
,"Prince George's County, MD",24033,"Intentional self-harm by hanging, strangulation and suffocation",X70,20,909308,2.2
,"Prince George's County, MD",24033,Intentional self-harm by other and unspecified firearm discharge,X74,20,909308,2.2
,"Baltimore city, MD",24510,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,602495,3.7
,"Baltimore city, MD",24510,Intentional self-harm by other and unspecified firearm discharge,X74,18,602495,Unreliable
,"Barnstable County, MA",25001,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,213413,10.8
,"Bristol County, MA",25005,"Intentional self-harm by hanging, strangulation and suffocation",X70,43,564022,7.6
,"Bristol County, MA",25005,Intentional self-harm by other and unspecified firearm discharge,X74,19,564022,Unreliable
,"Essex County, MA",25009,"Intentional self-harm by hanging, strangulation and suffocation",X70,38,790638,4.8
,"Essex County, MA",25009,Intentional self-harm by other and unspecified firearm discharge,X74,12,790638,Unreliable
,"Hampden County, MA",25013,"Intentional self-harm by hanging, strangulation and suffocation",X70,28,470406,6.0
,"Hampden County, MA",25013,Intentional self-harm by other and unspecified firearm discharge,X74,15,470406,Unreliable
,"Middlesex County, MA",25017,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18,1614714,Unreliable
,"Middlesex County, MA",25017,Intentional self-poisoning by and exposure to other gases and vapours,X67,11,1614714,Unreliable
,"Middlesex County, MA",25017,"Intentional self-harm by hanging, strangulation and suffocation",X70,65,1614714,4.0
,"Middlesex County, MA",25017,Intentional self-harm by other and unspecified firearm discharge,X74,21,1614714,1.3
,"Norfolk County, MA",25021,"Intentional self-harm by hanging, strangulation and suffocation",X70,43,705388,6.1
,"Plymouth County, MA",25023,"Intentional self-harm by hanging, strangulation and suffocation",X70,28,518132,5.4
,"Plymouth County, MA",25023,Intentional self-harm by other and unspecified firearm discharge,X74,10,518132,Unreliable
,"Suffolk County, MA",25025,"Intentional self-harm by hanging, strangulation and suffocation",X70,35,807252,4.3
,"Worcester County, MA",25027,"Intentional self-harm by hanging, strangulation and suffocation",X70,40,830839,4.8
,"Worcester County, MA",25027,Intentional self-harm by other and unspecified firearm discharge,X74,16,830839,Unreliable
,"Calhoun County, MI",26025,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,134487,Unreliable
,"Calhoun County, MI",26025,Intentional self-harm by other and unspecified firearm discharge,X74,10,134487,Unreliable
,"Genesee County, MI",26049,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,406892,Unreliable
,"Genesee County, MI",26049,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,406892,Unreliable
,"Genesee County, MI",26049,Intentional self-harm by other and unspecified firearm discharge,X74,32,406892,7.9
,"Ingham County, MI",26065,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,292735,Unreliable
,"Ingham County, MI",26065,Intentional self-harm by other and unspecified firearm discharge,X74,15,292735,Unreliable
,"Jackson County, MI",26075,Intentional self-harm by other and unspecified firearm discharge,X74,20,158823,12.6
,"Kalamazoo County, MI",26077,Intentional self-harm by other and unspecified firearm discharge,X74,14,264870,Unreliable
,"Kent County, MI",26081,"Intentional self-harm by hanging, strangulation and suffocation",X70,42,653786,6.4
,"Kent County, MI",26081,Intentional self-harm by other and unspecified firearm discharge,X74,27,653786,4.1
,"Macomb County, MI",26099,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12,874759,Unreliable
,"Macomb County, MI",26099,"Intentional self-harm by hanging, strangulation and suffocation",X70,41,874759,4.7
,"Macomb County, MI",26099,Intentional self-harm by handgun discharge,X72,47,874759,5.4
,"Macomb County, MI",26099,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,14,874759,Unreliable
,"Monroe County, MI",26115,Intentional self-harm by other and unspecified firearm discharge,X74,12,150439,Unreliable
,"Oakland County, MI",26125,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18,1259201,Unreliable
,"Oakland County, MI",26125,"Intentional self-harm by hanging, strangulation and suffocation",X70,53,1259201,4.2
,"Oakland County, MI",26125,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,10,1259201,Unreliable
,"Oakland County, MI",26125,Intentional self-harm by other and unspecified firearm discharge,X74,66,1259201,5.2
,"Ottawa County, MI",26139,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,290494,Unreliable
,"Ottawa County, MI",26139,Intentional self-harm by other and unspecified firearm discharge,X74,11,290494,Unreliable
,"Saginaw County, MI",26145,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,190800,Unreliable
,"St. Clair County, MI",26147,Intentional self-harm by handgun discharge,X72,11,159337,Unreliable
,"Wayne County, MI",26163,"Intentional self-harm by hanging, strangulation and suffocation",X70,65,1753893,3.7
,"Wayne County, MI",26163,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,17,1753893,Unreliable
,"Wayne County, MI",26163,Intentional self-harm by other and unspecified firearm discharge,X74,103,1753893,5.9
,"Anoka County, MN",27003,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,353813,Unreliable
,"Anoka County, MN",27003,Intentional self-harm by other and unspecified firearm discharge,X74,13,353813,Unreliable
,"Dakota County, MN",27037,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,425423,Unreliable
,"Dakota County, MN",27037,Intentional self-harm by handgun discharge,X72,14,425423,Unreliable
,"Hennepin County, MN",27053,"Intentional self-harm by hanging, strangulation and suffocation",X70,56,1259428,4.4
,"Hennepin County, MN",27053,Intentional self-harm by handgun discharge,X72,27,1259428,2.1
,"Ramsey County, MN",27123,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,550210,4.0
,"Ramsey County, MN",27123,Intentional self-harm by other and unspecified firearm discharge,X74,25,550210,4.5
,"St. Louis County, MN",27137,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,199754,Unreliable
,"St. Louis County, MN",27137,Intentional self-harm by other and unspecified firearm discharge,X74,16,199754,Unreliable
,"Washington County, MN",27163,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,259201,Unreliable
,"Alcorn County, MS",28003,Intentional self-harm by other and unspecified firearm discharge,X74,10,36925,Unreliable
,"DeSoto County, MS",28033,Intentional self-harm by other and unspecified firearm discharge,X74,18,182001,Unreliable
,"Harrison County, MS",28047,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,206650,Unreliable
,"Harrison County, MS",28047,Intentional self-harm by handgun discharge,X72,23,206650,11.1
,"Hinds County, MS",28049,Intentional self-harm by other and unspecified firearm discharge,X74,21,237085,8.9
,"Jackson County, MS",28059,Intentional self-harm by other and unspecified firearm discharge,X74,19,143277,Unreliable
,"Rankin County, MS",28121,Intentional self-harm by other and unspecified firearm discharge,X74,23,153902,14.9
,"Buchanan County, MO",29021,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,88571,Unreliable
,"Cape Girardeau County, MO",29031,Intentional self-harm by other and unspecified firearm discharge,X74,11,78753,Unreliable
,"Cass County, MO",29037,Intentional self-harm by other and unspecified firearm discharge,X74,15,104954,Unreliable
,"Christian County, MO",29043,Intentional self-harm by other and unspecified firearm discharge,X74,16,86983,Unreliable
,"Clay County, MO",29047,Intentional self-harm by other and unspecified firearm discharge,X74,18,246365,Unreliable
,"Franklin County, MO",29071,Intentional self-harm by handgun discharge,X72,13,103670,Unreliable
,"Greene County, MO",29077,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,291923,7.9
,"Greene County, MO",29077,Intentional self-harm by handgun discharge,X72,22,291923,7.5
,"Jackson County, MO",29095,"Intentional self-harm by hanging, strangulation and suffocation",X70,33,700307,4.7
,"Jackson County, MO",29095,Intentional self-harm by handgun discharge,X72,26,700307,3.7
,"Jackson County, MO",29095,Intentional self-harm by other and unspecified firearm discharge,X74,58,700307,8.3
,"Jasper County, MO",29097,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,120636,Unreliable
,"Jasper County, MO",29097,Intentional self-harm by other and unspecified firearm discharge,X74,11,120636,Unreliable
,"Jefferson County, MO",29099,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,224347,Unreliable
,"Jefferson County, MO",29099,Intentional self-harm by handgun discharge,X72,26,224347,11.6
,"Jefferson County, MO",29099,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,224347,Unreliable
,"St. Charles County, MO",29183,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,399182,Unreliable
,"St. Charles County, MO",29183,Intentional self-harm by handgun discharge,X72,21,399182,5.3
,"St. Louis County, MO",29189,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,996945,Unreliable
,"St. Louis County, MO",29189,"Intentional self-harm by hanging, strangulation and suffocation",X70,37,996945,3.7
,"St. Louis County, MO",29189,Intentional self-harm by handgun discharge,X72,63,996945,6.3
,"St. Louis County, MO",29189,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,12,996945,Unreliable
,"St. Louis city, MO",29510,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,302838,Unreliable
,"St. Louis city, MO",29510,Intentional self-harm by other and unspecified firearm discharge,X74,21,302838,6.9
,"Flathead County, MT",30029,Intentional self-harm by other and unspecified firearm discharge,X74,18,102106,Unreliable
,"Gallatin County, MT",30031,Intentional self-harm by other and unspecified firearm discharge,X74,11,111876,Unreliable
,"Missoula County, MT",30063,Intentional self-harm by other and unspecified firearm discharge,X74,12,118791,Unreliable
,"Yellowstone County, MT",30111,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,160137,Unreliable
,"Yellowstone County, MT",30111,Intentional self-harm by handgun discharge,X72,14,160137,Unreliable
,"Douglas County, NE",31055,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,566880,Unreliable
,"Douglas County, NE",31055,Intentional self-harm by other and unspecified firearm discharge,X74,40,566880,7.1
,"Lancaster County, NE",31109,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,317272,Unreliable
,"Clark County, NV",32003,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,11,2231647,Unreliable
,"Clark County, NV",32003,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,10,2231647,Unreliable
,"Clark County, NV",32003,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,40,2231647,1.8
